Grade,tf,Improved
2,1,Y
5,0,N
4,0,N
3,1,Y
1,1,Y
8,0,N
4,1,Y
5,1,Y
5,1,Y
4,0,N
7,1,Y
3,1,Y
3,0,N
3,0,N
6,0,N
7,0,N
3,0,N
7,1,Y
8,0,N
2,1,Y
4,1,Y
1,0,N
5,0,N
5,1,Y
6,0,N
8,1,Y
7,0,N
7,1,Y
1,1,Y
5,0,N
1,1,Y
7,1,Y
8,0,N
7,1,Y
5,0,N
8,0,N
2,0,N
4,1,Y
8,0,N
3,1,Y
3,0,N
8,0,N
3,1,Y
4,1,Y
1,0,N
5,0,N
4,0,N
1,1,Y
5,1,Y
8,1,Y
7,0,N
6,1,Y
8,0,N
5,1,Y
2,0,N
6,0,N
4,1,Y
1,0,N
4,1,Y
4,0,N
5,0,N
4,1,Y
1,0,N
2,0,N
8,1,Y
8,1,Y
3,1,Y
8,0,N
4,1,Y
8,1,Y
5,1,Y
7,1,Y
4,1,Y
1,0,N
5,1,Y
8,0,N
1,1,Y
4,1,Y
7,0,N
2,1,Y
4,0,N
7,1,Y
1,0,N
8,0,N
1,1,Y
7,1,Y
6,1,Y
2,1,Y
3,1,Y
6,0,N
5,0,N
3,0,N
3,1,Y
6,0,N
6,0,N
3,0,N
3,0,N
5,0,N
6,0,N
4,1,Y
